Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
Character_AutoEyeBlink_Desc,desc,自動でまばたきを行います,Enables automatic blinking.,自动执行眨眼。,自動進行眨眼。,자동으로 눈을 깜빡입니다.,Activa el parpadeo automático.,يُفعّل الرمش التلقائي.,Mengaktifkan kedipan otomatis.
Character_AutoEyeBlink_Name,name,自動まばたき,Auto Blink,自动眨眼,自動眨眼,자동 눈깜빡임,Parpadeo automático,رمش تلقائي,Kedipan otomatis
Character_AutoLipSync_Desc,desc,音声に連動して口を動かします,Moves the mouth based on audio.,根据音频驱动嘴部动作。,根據音訊驅動嘴部動作。,오디오에 맞춰 입을 움직입니다.,Mueve la boca según el audio.,يحرك الفم بناءً على الصوت.,Menggerakkan mulut berdasarkan audio.
Character_AutoLipSync_Name,name,自動口パク,Auto Lip Sync,自动口型同步,自動口型同步,자동 립싱크,Sincronización labial automática,مزامنة شفاه تلقائية,Sinkronisasi bibir otomatis
Character_DisplayName_Desc,desc,複数キャラクター時にターゲットポイント/ヒットボックスから選ぶための表示名,Display name used when selecting from target points or hit boxes.,多角色时用于在目标点或命中框中选择的显示名称。,多角色時用於在目標點或命中框中選擇的顯示名稱。,여러 캐릭터가 있을 때 타깃 포인트/히트박스에서 선택할 표시 이름입니다.,Nombre para mostrar usado al seleccionar desde puntos objetivo o cajas de impacto.,اسم عرض يُستخدم عند الاختيار من نقاط الهدف أو صناديق الإصابة.,Nama tampilan yang digunakan saat memilih dari titik target atau hit box.
Character_DisplayName_Name,name,キャラクター名,Character Name,角色名,角色名稱,캐릭터 이름,Nombre del personaje,اسم الشخصية,Nama karakter
Character_EnableBreath_Desc,desc,呼吸モーションを有効にします,Enables breathing motion.,启用呼吸动作。,啟用呼吸動作。,호흡 모션을 활성화합니다.,Permite el movimiento respiratorio.,تمكن من حركة التنفس.,Memungkinkan gerakan pernapasan.
Character_EnableBreath_Name,name,呼吸有効,Enable Breath,启用呼吸,啟用呼吸,호흡 활성화,Habilitar respiración,تمكين التنفس,Aktifkan Nafas
Character_EnableFxaa_Desc,desc,ONで最終縮小時の補間を高品質化（滑らか寄り、ややソフトになる場合あり）。既定はOFF,Improves final downscale quality when ON. Smoother but can look slightly softer. Default is OFF.,开启后提高最终缩小时的质量。更平滑，但可能稍微变软。默认关闭。,開啟後提高最終縮小時的品質。較平滑，但可能稍微偏柔。預設關閉。,켜면 최종 축소 시 품질이 향상됩니다. 더 부드럽지만 약간 흐려질 수 있습니다. 기본값은 OFF입니다.,Mejora la calidad de la reducción de escala final cuando está activado. Más suave pero puede parecer un poco más suave. El valor predeterminado es APAGADO.,يعمل على تحسين جودة التصغير النهائية عند التشغيل. أكثر سلاسة ولكن يمكن أن تبدو أكثر ليونة قليلاً. الافتراضي هو إيقاف.,Meningkatkan kualitas penurunan akhir saat AKTIF. Lebih halus tetapi bisa terlihat sedikit lebih lembut. Standarnya MATI.
Character_EnableFxaa_Name,name,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA
